Question,Content,Tags,id
we (masculine / mixed) *(pronoun)*,"nosotros

biz (eril / karma)

*subject pronoun*",trio-lingua grammar pronoun term pronouns,gra_df4-FAc91m3G
we (feminine) *(pronoun)*,"nosotras

biz (dişil)

*subject pronoun*",trio-lingua grammar pronoun term pronouns,gra_UJ1QK8BdNvC9
"you all (informal, Spain) *(pronoun)*","vosotros

siz (çoğul, samimi — İspanya)

*subject pronoun; mainly Spain*",trio-lingua grammar pronoun term pronouns,gra_K6G9lWUaDjKH
"you all (feminine, Spain) *(pronoun)*","vosotras

siz (dişil çoğul, samimi — İspanya)

*subject pronoun; mainly Spain*",trio-lingua grammar pronoun term pronouns,gra_BnUl2kscto_S
they (masculine / mixed) *(pronoun)*,"ellos

onlar (eril / karma)

*subject pronoun*",trio-lingua grammar pronoun term pronouns,gra_NRTWoSAtIQdD
they (feminine) *(pronoun)*,"ellas

onlar (dişil)

*subject pronoun*",trio-lingua grammar pronoun term pronouns,gra_2OK7p8TZRLsw
you all (formal / LatAm) *(pronoun)*,"ustedes (uds.)

siz (çoğul, resmi / LatAm)

*subject pronoun; takes 3rd-person plural verbs*",trio-lingua grammar pronoun term pronouns,gra_wE6_MzZX3MpJ
to be (ser) *(verb)*,"ser

olmak (kalıcı / kimlik / özellik)

*essence, identity, origin, time, profession — permanent or defining*",trio-lingua grammar verb term ser,gra_kjUDzhPVKLfQ
I am (ser) *(verb)*,"(yo) soy

(ben) …im / …yım (ser)

*present indicative*",trio-lingua grammar verb term ser,gra_fsfms6fol9mU
"you are (ser, informal) *(verb)*","(tú) eres

(sen) …sin (ser)

*present indicative*",trio-lingua grammar verb term ser,gra_NtXrmORfE8L-
he / she / you formal is (ser) *(verb)*,"(él / ella / usted) es

(o / siz) …dir / …dır (ser)

*present indicative*",trio-lingua grammar verb term ser,gra__dTXNJBW1dck
we are (ser) *(verb)*,"(nosotros / nosotras) somos

(biz) …iz / …yiz (ser)

*present indicative*",trio-lingua grammar verb term ser,gra_wMPNH2yQBFF-
"you all are (ser, Spain) *(verb)*","(vosotros / vosotras) sois

(siz) …siniz (ser — İspanya)

*present indicative*",trio-lingua grammar verb term ser,gra_W_sBZe7i_jd2
they / you all are (ser) *(verb)*,"(ellos / ellas / ustedes) son

(onlar / siz) …dirler / …dırlar (ser)

*present indicative*",trio-lingua grammar verb term ser,gra_si9TokTmucjn
to be (estar) *(verb)*,"estar

olmak / bulunmak (geçici / konum / durum)

*location, temporary state, emotion, progressive — how/where something is*",trio-lingua grammar verb term estar,gra_cmIxMnq1yp3N
I am (estar) *(verb)*,"(yo) estoy

(ben) …im / bulunuyorum (estar)

*present indicative*",trio-lingua grammar verb term estar,gra_1BqOZlhCBMEe
"you are (estar, informal) *(verb)*","(tú) estás

(sen) …sin / bulunuyorsun (estar)

*present indicative*",trio-lingua grammar verb term estar,gra_FQ7bNfLQ0iQi
he / she / you formal is (estar) *(verb)*,"(él / ella / usted) está

(o / siz) …dir / bulunuyor (estar)

*present indicative*",trio-lingua grammar verb term estar,gra_tROwvacBD8K4
we are (estar) *(verb)*,"(nosotros / nosotras) estamos

(biz) …iz / bulunuyoruz (estar)

*present indicative*",trio-lingua grammar verb term estar,gra_fXfqvxgW1zmu
"you all are (estar, Spain) *(verb)*","(vosotros / vosotras) estáis

(siz) …siniz / bulunuyorsunuz (estar — İspanya)

*present indicative*",trio-lingua grammar verb term estar,gra_pjTnH8kizlwa
they / you all are (estar) *(verb)*,"(ellos / ellas / ustedes) están

(onlar / siz) …dirler / bulunuyorlar (estar)

*present indicative*",trio-lingua grammar verb term estar,gra_mSDMKjHSnI3_
animal *(noun)*,"el animal

hayvan",trio-lingua nature noun term animals,nat_fLF6rlAVW9pb
plant *(noun)*,"la planta

bitki",trio-lingua nature noun term plants,nat_36ClpSOvtHdy
fruit *(noun)*,"la fruta

meyve",trio-lingua nature noun term fruits,nat_oGwDXyF6f0tv
vegetable *(noun)*,"la verdura / el vegetal

sebze",trio-lingua nature noun term vegetables,nat_BPot1HElGXsF
dog *(noun)*,"el perro / la perra

köpek",trio-lingua nature noun term animals,nat_CZji9Tj2ezcJ
cat *(noun)*,"el gato / la gata

kedi",trio-lingua nature noun term animals,nat_l03z6H6ydylq
bird *(noun)*,"el pájaro / el ave

kuş",trio-lingua nature noun term animals,nat_oGDVfMzzLL_W
fish *(noun)*,"el pez (pl. los peces)

balık",trio-lingua nature noun term animals,nat_OJgXPvq27pHG
horse *(noun)*,"el caballo / la yegua

at",trio-lingua nature noun term animals,nat_UPYBOSkGE5X1
cow *(noun)*,"la vaca

inek",trio-lingua nature noun term animals,nat_3ds0toEoOQwe
bull *(noun)*,"el toro

boğa",trio-lingua nature noun term animals,nat_vFf6YoHfupsg
pig *(noun)*,"el cerdo / la cerda

domuz",trio-lingua nature noun term animals,nat_6bjI5VfbINpX
sheep *(noun)*,"la oveja

koyun",trio-lingua nature noun term animals,nat_KMmcJ2tumkB1
goat *(noun)*,"la cabra

keçi",trio-lingua nature noun term animals,nat_Pac2XKR_SUhB
chicken *(noun)*,"el pollo / la gallina

tavuk",trio-lingua nature noun term animals,nat_aQ4817qL_jKX
rooster *(noun)*,"el gallo

horoz",trio-lingua nature noun term animals,nat_au27wEZ46rRE
duck *(noun)*,"el pato / la pata

ördek",trio-lingua nature noun term animals,nat_femCYqrcoUWT
rabbit *(noun)*,"el conejo / la coneja

tavşan",trio-lingua nature noun term animals,nat_XVlSPz4e6ZZC
mouse *(noun)*,"el ratón / la ratona

fare",trio-lingua nature noun term animals,nat_u42h7j1d98cr
bear *(noun)*,"el oso / la osa

ayı",trio-lingua nature noun term animals,nat_rPW1rmZyC5f5
lion *(noun)*,"el león / la leona

aslan",trio-lingua nature noun term animals,nat_5aB4jRId5Kra
tiger *(noun)*,"el tigre / la tigresa

kaplan",trio-lingua nature noun term animals,nat_EATfniVH3s9y
elephant *(noun)*,"el elefante / la elefanta

fil",trio-lingua nature noun term animals,nat_d83W8LPkIJMH
monkey *(noun)*,"el mono / la mona

maymun",trio-lingua nature noun term animals,nat_NNRWd0h8QRKg
wolf *(noun)*,"el lobo / la loba

kurt",trio-lingua nature noun term animals,nat_u5p5Yxx2kQUl
fox *(noun)*,"el zorro / la zorra

tilki",trio-lingua nature noun term animals,nat_xPt1Bhx2GRVx
snake *(noun)*,"la serpiente

yılan",trio-lingua nature noun term animals,nat_U380AupHVzfc
frog *(noun)*,"la rana

kurbağa",trio-lingua nature noun term animals,nat_DpCcknk0B2fs
butterfly *(noun)*,"la mariposa

kelebek",trio-lingua nature noun term animals,nat_agyJc1rnbfq-
bee *(noun)*,"la abeja

arı",trio-lingua nature noun term animals,nat_O5ucxYfPKcnl
spider *(noun)*,"la araña

örümcek",trio-lingua nature noun term animals,nat_9WEEBpLQnASF
ant *(noun)*,"la hormiga

karınca",trio-lingua nature noun term animals,nat_B9tmW_TsgSFT
tree *(noun)*,"el árbol

ağaç",trio-lingua nature noun term plants,nat_JpbCqVoN8feR
flower *(noun)*,"la flor

çiçek",trio-lingua nature noun term plants,nat_3C2o-Qn6yJzf
grass *(noun)*,"la hierba / el césped

çimen / ot",trio-lingua nature noun term plants,nat_7FSqt7pSsgMJ
leaf *(noun)*,"la hoja

yaprak",trio-lingua nature noun term plants,nat__UyqrXfUh2Al
seed *(noun)*,"la semilla

tohum",trio-lingua nature noun term plants,nat_89mdyiWSk50h
root *(noun)*,"la raíz

kök",trio-lingua nature noun term plants,nat_CfiEeijMiewq
branch *(noun)*,"la rama

dal",trio-lingua nature noun term plants,nat_TvWm9I_OFIbU
bush *(noun)*,"el arbusto

çalı",trio-lingua nature noun term plants,nat_1Bvj1j9GLfHU
forest *(noun)*,"el bosque

orman",trio-lingua nature noun term plants,nat_AjdZjRdfONQB
garden *(noun)*,"el jardín

bahçe",trio-lingua nature noun term plants,nat_Nf4oVVB1niky
rose *(noun)*,"la rosa

gül",trio-lingua nature noun term plants,nat_xQ73CEgzkSnR
oak *(noun)*,"el roble

meşe",trio-lingua nature noun term plants,nat_Waw10Wqv6x95
pine *(noun)*,"el pino

çam",trio-lingua nature noun term plants,nat_ENs9xItTY3IJ
cactus *(noun)*,"el cactus

kaktüs",trio-lingua nature noun term plants,nat_MltjAGYNFcTC
apple *(noun)*,"la manzana

elma",trio-lingua nature noun term fruits,nat_f0Mjbq50BvSI
banana *(noun)*,"el plátano / la banana

muz",trio-lingua nature noun term fruits,nat_qadffmSmNFzM
orange *(noun)*,"la naranja

portakal",trio-lingua nature noun term fruits,nat_AoTHTPvfwIBi
lemon *(noun)*,"el limón

limon",trio-lingua nature noun term fruits,nat_KzUorrLv0MkF
strawberry *(noun)*,"la fresa

çilek",trio-lingua nature noun term fruits,nat_OTbC-T9yOZzi
grape *(noun)*,"la uva

üzüm",trio-lingua nature noun term fruits,nat_R4LocPOLu2bD
watermelon *(noun)*,"la sandía

karpuz",trio-lingua nature noun term fruits,nat_Y88jJ4uMSaQR
melon *(noun)*,"el melón

kavun",trio-lingua nature noun term fruits,nat_zRFNww_Xg1SD
pear *(noun)*,"la pera

armut",trio-lingua nature noun term fruits,nat_2Yr6cBtlDwEP
peach *(noun)*,"el melocotón / el durazno

şeftali",trio-lingua nature noun term fruits,nat_1gQnIrFNvbbV
cherry *(noun)*,"la cereza

kiraz",trio-lingua nature noun term fruits,nat_-RnezfGYUcYy
pineapple *(noun)*,"la piña

ananas",trio-lingua nature noun term fruits,nat_tUt_34ZDgEfs
mango *(noun)*,"el mango

mango",trio-lingua nature noun term fruits,nat_8wJ5xgfx5BWH
kiwi *(noun)*,"el kiwi

kivi",trio-lingua nature noun term fruits,nat_tmNLrHEZB9qd
fig *(noun)*,"el higo

incir",trio-lingua nature noun term fruits,nat_PdlxvLdwQqSZ
coconut *(noun)*,"el coco

hindistan cevizi",trio-lingua nature noun term fruits,nat_2Zlp1u0nDA75
blueberry *(noun)*,"el arándano

yaban mersini",trio-lingua nature noun term fruits,nat_Pt6Bas-5fvKI
raspberry *(noun)*,"la frambuesa

ahududu",trio-lingua nature noun term fruits,nat_a5_zjUcoDxA0
tomato *(noun)*,"el tomate

domates",trio-lingua nature noun term vegetables,nat_ZBxDoH9eNjbP
potato *(noun)*,"la patata / la papa

patates",trio-lingua nature noun term vegetables,nat_WbrfbWnuqqfT
carrot *(noun)*,"la zanahoria

havuç",trio-lingua nature noun term vegetables,nat_RWW2v0nRMTD4
onion *(noun)*,"la cebolla

soğan",trio-lingua nature noun term vegetables,nat_bVUqowggo0pW
garlic *(noun)*,"el ajo

sarımsak",trio-lingua nature noun term vegetables,nat_g6o_GUZTy_Tn
lettuce *(noun)*,"la lechuga

marul",trio-lingua nature noun term vegetables,nat_xYQ8Ua5tRl7e
cucumber *(noun)*,"el pepino

salatalık",trio-lingua nature noun term vegetables,nat_d5O0wIkAJEMc
pepper *(noun)*,"el pimiento

biber",trio-lingua nature noun term vegetables,nat_lKP8CNZZKPP7
spinach *(noun)*,"las espinacas

ıspanak",trio-lingua nature noun term vegetables,nat_AVtrbt-E8XCI
broccoli *(noun)*,"el brócoli

brokoli",trio-lingua nature noun term vegetables,nat_rEEw-9i8cyXX
cabbage *(noun)*,"el repollo / la col

lahana",trio-lingua nature noun term vegetables,nat_C9OtIP8LEDbe
cauliflower *(noun)*,"la coliflor

karnabahar",trio-lingua nature noun term vegetables,nat_x3kHdFA8nMoU
eggplant *(noun)*,"la berenjena

patlıcan",trio-lingua nature noun term vegetables,nat_3WMLr2QR7Eql
zucchini *(noun)*,"el calabacín

kabak",trio-lingua nature noun term vegetables,nat_2SjTQuoBI2U4
pumpkin *(noun)*,"la calabaza

balkabağı",trio-lingua nature noun term vegetables,nat_OY0W2e9s6_Xd
corn *(noun)*,"el maíz

mısır",trio-lingua nature noun term vegetables,nat_GCOrAPf7ZEBl
bean *(noun)*,"el frijol / la judía / la alubia

fasulye",trio-lingua nature noun term vegetables,nat_R1Mj16Zh1-83
pea *(noun)*,"el guisante

bezelye",trio-lingua nature noun term vegetables,nat_4RhsxqF32Wtg
mushroom *(noun)*,"el hongo / la seta

mantar",trio-lingua nature noun term vegetables,nat_SOrHW2H5vEw5
celery *(noun)*,"el apio

kereviz",trio-lingua nature noun term vegetables,nat_-habaPre4PKW
number *(noun)*,"el número

sayı",trio-lingua numbers noun term general,num_oNgKiKS-iZwE
zero *(number)*,"cero

sıfır",trio-lingua numbers number term cardinals,num_ph8gb9K5ILv8
one *(number)*,"uno / un / una

bir

*un before masc. noun, una before fem.*",trio-lingua numbers number term cardinals,num_XVXC2SmkTHRM
two *(number)*,"dos

iki",trio-lingua numbers number term cardinals,num_wkUeZ86UT6KD
three *(number)*,"tres

üç",trio-lingua numbers number term cardinals,num_w0bv2w-f1Ubc
four *(number)*,"cuatro

dört",trio-lingua numbers number term cardinals,num_6EQMeHO8zati
five *(number)*,"cinco

beş",trio-lingua numbers number term cardinals,num_msmJ0LNDIBk5
six *(number)*,"seis

altı",trio-lingua numbers number term cardinals,num_OnOsSUcFGKML
seven *(number)*,"siete

yedi",trio-lingua numbers number term cardinals,num_sp6sSGYB9d3I
eight *(number)*,"ocho

sekiz",trio-lingua numbers number term cardinals,num_Sn18U2Ua53dC
nine *(number)*,"nueve

dokuz",trio-lingua numbers number term cardinals,num_38Xd6mslzpoF
ten *(number)*,"diez

on",trio-lingua numbers number term cardinals,num_j8p3Yv6UeeM_
eleven *(number)*,"once

on bir",trio-lingua numbers number term cardinals,num_-pdQQXKmPpif
twelve *(number)*,"doce

on iki",trio-lingua numbers number term cardinals,num_sl5wa18Z7cFC
thirteen *(number)*,"trece

on üç",trio-lingua numbers number term cardinals,num_iTjW9SbcZJZV
fourteen *(number)*,"catorce

on dört",trio-lingua numbers number term cardinals,num_iejG7Ba2hGYo
fifteen *(number)*,"quince

on beş",trio-lingua numbers number term cardinals,num_4Xo83aSH0IZL
sixteen *(number)*,"dieciséis

on altı",trio-lingua numbers number term cardinals,num_p3pvGZjxOaXe
seventeen *(number)*,"diecisiete

on yedi",trio-lingua numbers number term cardinals,num_76FAekhumU80
eighteen *(number)*,"dieciocho

on sekiz",trio-lingua numbers number term cardinals,num_yDpwDCNW8M2H
nineteen *(number)*,"diecinueve

on dokuz",trio-lingua numbers number term cardinals,num_iH3Z9Wya1--w
twenty *(number)*,"veinte

yirmi",trio-lingua numbers number term cardinals,num_xqDpgeHjsON9
twenty-one *(number)*,"veintiuno

yirmi bir

*21–29 are written as one word*",trio-lingua numbers number term cardinals,num_8Rj2_k1WtJvA
thirty *(number)*,"treinta

otuz",trio-lingua numbers number term cardinals,num_tONiHqriffJb
forty *(number)*,"cuarenta

kırk",trio-lingua numbers number term cardinals,num_7gdQUHgmY-eI
fifty *(number)*,"cincuenta

elli",trio-lingua numbers number term cardinals,num_3vwRzW9jjLwL
sixty *(number)*,"sesenta

altmış",trio-lingua numbers number term cardinals,num_02e7d9BUA3tf
seventy *(number)*,"setenta

yetmiş",trio-lingua numbers number term cardinals,num_OIpPvWw5qmHF
eighty *(number)*,"ochenta

seksen",trio-lingua numbers number term cardinals,num_WcTcKxoyL5KH
ninety *(number)*,"noventa

doksan",trio-lingua numbers number term cardinals,num_2URK_HcuDAsv
one hundred *(number)*,"cien / ciento

yüz

*cien exactly 100; ciento in 101–199*",trio-lingua numbers number term cardinals,num_NLzrMHFPXxTq
two hundred *(number)*,"doscientos

iki yüz",trio-lingua numbers number term cardinals,num_0HEljOPx595P
one thousand *(number)*,"mil

bin",trio-lingua numbers number term cardinals,num_Gf2_DxPDsyGG
one million *(number)*,"un millón

bir milyon",trio-lingua numbers number term cardinals,num_4u-L7synvGFT
first *(adjective)*,"primero / primera

birinci

*primer before a masc. singular noun*",trio-lingua numbers adjective term ordinals,num_8jy-PNfAGAOP
second *(adjective)*,"segundo / segunda

ikinci",trio-lingua numbers adjective term ordinals,num_IMDT_CzfO6-Q
third *(adjective)*,"tercero / tercera

üçüncü

*tercer before a masc. singular noun*",trio-lingua numbers adjective term ordinals,num_aBL27jfAkicU
fourth *(adjective)*,"cuarto / cuarta

dördüncü",trio-lingua numbers adjective term ordinals,num_ELjl2VBSnpIR
fifth *(adjective)*,"quinto / quinta

beşinci",trio-lingua numbers adjective term ordinals,num_I8DnL9hCU7AR
sixth *(adjective)*,"sexto / sexta

altıncı",trio-lingua numbers adjective term ordinals,num_XWVJO_dqNkkC
seventh *(adjective)*,"séptimo / séptima

yedinci",trio-lingua numbers adjective term ordinals,num_xxp755y8mGHQ
eighth *(adjective)*,"octavo / octava

sekizinci",trio-lingua numbers adjective term ordinals,num_eO-tbdWPacN8
ninth *(adjective)*,"noveno / novena

dokuzuncu",trio-lingua numbers adjective term ordinals,num_n28yIqj89Qn1
tenth *(adjective)*,"décimo / décima

onuncu",trio-lingua numbers adjective term ordinals,num_E3t5Mb67_prj
How many? *(phrase)*,"¿Cuántos? / ¿Cuántas?

Kaç tane?",trio-lingua numbers phrase general,num_68S2ufB8nU53
Hello *(phrase)*,"Hola

Merhaba",trio-lingua phrases phrase greetings,phr_PzY88Vaxl9BY
Good morning *(phrase)*,"Buenos días

Günaydın",trio-lingua phrases phrase greetings,phr_3VzHtyo65SX9
Good afternoon *(phrase)*,"Buenas tardes

İyi günler / Tünaydın",trio-lingua phrases phrase greetings,phr_9POpgDPqri-O
Good evening / Good night *(phrase)*,"Buenas noches

İyi akşamlar / İyi geceler",trio-lingua phrases phrase greetings,phr_ALxgrcW1bjjj
Goodbye *(phrase)*,"Adiós

Hoşça kal",trio-lingua phrases phrase greetings,phr_RQvn4Vf2kafO
See you later *(phrase)*,"Hasta luego

Görüşürüz",trio-lingua phrases phrase greetings,phr_O_OBsW6AjTBM
See you tomorrow *(phrase)*,"Hasta mañana

Yarın görüşürüz",trio-lingua phrases phrase greetings,phr_Xh017LBTpTD4
Welcome *(phrase)*,"Bienvenido / Bienvenida

Hoş geldin",trio-lingua phrases phrase greetings,phr_lCujiT6EuxdF
Please *(phrase)*,"Por favor

Lütfen",trio-lingua phrases phrase courtesy,phr_2VLyf3S-6axE
Thank you *(phrase)*,"Gracias

Teşekkürler",trio-lingua phrases phrase courtesy,phr_YAUA8-Y-i3mL
Thank you very much *(phrase)*,"Muchas gracias

Çok teşekkürler",trio-lingua phrases phrase courtesy,phr_cZ85uGtpdtga
You're welcome *(phrase)*,"De nada

Rica ederim",trio-lingua phrases phrase courtesy,phr_uNQY3Fjmh6Od
Excuse me *(phrase)*,"Perdón / Disculpe

Affedersiniz",trio-lingua phrases phrase courtesy,phr_t-eziOyInwq7
I'm sorry *(phrase)*,"Lo siento

Özür dilerim",trio-lingua phrases phrase courtesy,phr_aG3JtdTYctas
Excuse me (passing by) *(phrase)*,"Con permiso

İzninizle",trio-lingua phrases phrase courtesy,phr_rdE3z9YxNJrV
Yes *(adverb)*,"Sí

Evet",trio-lingua phrases adverb term basics,phr_hltAnacCsQT7
No *(adverb)*,"No

Hayır",trio-lingua phrases adverb term basics,phr_5HxbdGmj1gWG
Maybe *(adverb)*,"Tal vez / Quizás

Belki",trio-lingua phrases adverb term basics,phr_LKQZdhe3ARpc
Of course *(phrase)*,"Claro / Por supuesto

Tabii ki",trio-lingua phrases phrase basics,phr_rVnXQwuxMlaW
That's all *(phrase)*,"Eso es todo

Hepsi bu",trio-lingua phrases phrase basics,phr_dPH2ATULJidq
It doesn't matter *(phrase)*,"No importa

Önemli değil",trio-lingua phrases phrase basics,phr_nGPfqeu5bDnJ
How are you? *(phrase)*,"¿Cómo estás?

Nasılsın?",trio-lingua phrases phrase small-talk,phr_wycR3-74vnoS
"Fine, thanks. And you? *(phrase)*","Bien, gracias. ¿Y tú?

İyiyim, teşekkürler. Ya sen?",trio-lingua phrases phrase small-talk,phr_d8nOYsudxIbV
What's your name? *(phrase)*,"¿Cómo te llamas?

Adın ne?",trio-lingua phrases phrase small-talk,phr_WWTyldYXpVUk
My name is… *(phrase)*,"Me llamo…

Adım…",trio-lingua phrases phrase small-talk,phr_Pr9tlNLhMsX-
Nice to meet you *(phrase)*,"Mucho gusto / Encantado

Memnun oldum",trio-lingua phrases phrase small-talk,phr_RJz4pTi6mrmt
Where are you from? *(phrase)*,"¿De dónde eres?

Nerelisin?",trio-lingua phrases phrase small-talk,phr_5YlReK_RYeNv
I am from… *(phrase)*,"Soy de…

…'lıyım",trio-lingua phrases phrase small-talk,phr_d2AWQ8upsCOd
What do you do (for a living)? *(phrase)*,"¿A qué te dedicas?

Ne iş yapıyorsun?",trio-lingua phrases phrase small-talk,phr_GvVhCdPZKeDq
I work as… *(phrase)*,"Trabajo como…

… olarak çalışıyorum",trio-lingua phrases phrase small-talk,phr_YPL4Ocl111F9
How old are you? *(phrase)*,"¿Cuántos años tienes?

Kaç yaşındasın?",trio-lingua phrases phrase small-talk,phr_zMxA2Syww6_v
I am … years old. *(phrase)*,"Tengo … años.

… yaşındayım.

*literally: I have … years*",trio-lingua phrases phrase small-talk,phr_y1jGPJ-hSV_8
Where do you live? *(phrase)*,"¿Dónde vives?

Nerede yaşıyorsun?",trio-lingua phrases phrase small-talk,phr_dUUPoMpNdmB6
I don't understand *(phrase)*,"No entiendo

Anlamıyorum",trio-lingua phrases phrase help,phr_sAHCwaoURFxV
I don't know *(phrase)*,"No sé

Bilmiyorum",trio-lingua phrases phrase help,phr_IqxP1_8wou1Y
Do you speak English? *(phrase)*,"¿Hablas inglés?

İngilizce biliyor musun?",trio-lingua phrases phrase help,phr_KOdtUZqnjhUq
"Can you repeat, please? *(phrase)*","¿Puedes repetir, por favor?

Tekrar eder misin, lütfen?",trio-lingua phrases phrase help,phr_klAcuhE4qSmh
"More slowly, please *(phrase)*","Más despacio, por favor

Daha yavaş, lütfen",trio-lingua phrases phrase help,phr_URVYvqWZahUj
What does … mean? *(phrase)*,"¿Qué significa…?

… ne demek?",trio-lingua phrases phrase help,phr_lMeyysuihQrf
How do you say … in Spanish? *(phrase)*,"¿Cómo se dice … en español?

İspanyolca … nasıl denir?",trio-lingua phrases phrase help,phr_n3ohG3FxNuik
How much does it cost? *(phrase)*,"¿Cuánto cuesta?

Ne kadar?",trio-lingua phrases phrase help,phr_Blpqq8FKrX39
Where is the bathroom? *(phrase)*,"¿Dónde está el baño?

Tuvalet nerede?",trio-lingua phrases phrase help,phr_oQVXn86hhy_U
Help! *(phrase)*,"¡Socorro! / ¡Ayuda!

İmdat!",trio-lingua phrases phrase help,phr_RmWnyq-waX2i
travel / trip *(noun)*,"el viaje

seyahat / yolculuk",trio-lingua travel noun term,tra_LeVerozikUMw
to travel *(verb)*,"viajar

seyahat etmek",trio-lingua travel verb term,tra_zbCWXWx9HvzS
to go *(verb)*,"ir

gitmek

*irregular: voy, vas, va…*",trio-lingua travel verb term,tra_AZg_hGRuy0Az
to arrive *(verb)*,"llegar

varmak",trio-lingua travel verb term,tra_AyQHyg6-mDCQ
to leave / depart *(verb)*,"salir

ayrılmak / kalkmak",trio-lingua travel verb term,tra_zJKfQkFO65aM
ticket *(noun)*,"el billete / el boleto

bilet

*billete in Spain, boleto in Latin America*",trio-lingua travel noun term,tra_pPyf-L6PQ40W
passport *(noun)*,"el pasaporte

pasaport",trio-lingua travel noun term,tra_gbmrTeLNlRsY
luggage *(noun)*,"el equipaje

bagaj",trio-lingua travel noun term,tra_mTt4fa-IOHEb
suitcase *(noun)*,"la maleta

valiz",trio-lingua travel noun term,tra_i8T6wcQ1Szl5
backpack *(noun)*,"la mochila

sırt çantası",trio-lingua travel noun term,tra_4znH_0hhuSrM
map *(noun)*,"el mapa

harita

*masculine despite ending in -a*",trio-lingua travel noun term,tra_IAF2NlD1Y5A_
hotel *(noun)*,"el hotel

otel",trio-lingua travel noun term,tra_bqI-CXNaOhIK
room *(noun)*,"la habitación

oda",trio-lingua travel noun term,tra_YnAP7ynYSrUi
key *(noun)*,"la llave

anahtar",trio-lingua travel noun term,tra_Kp36_wT1ZaYR
tourist *(noun)*,"el turista / la turista

turist",trio-lingua travel noun term,tra_koWYQaqj84po
transportation *(noun)*,"el transporte

ulaşım",trio-lingua travel noun term transportation,tra_EyxcZNiuEVGy
car *(noun)*,"el coche / el carro

araba

*coche in Spain, carro in Latin America*",trio-lingua travel noun term transportation,tra_RWXjAH9TZz76
bus *(noun)*,"el autobús

otobüs",trio-lingua travel noun term transportation,tra_2IJ5rWUBflPy
train *(noun)*,"el tren

tren",trio-lingua travel noun term transportation,tra_1qfXZfpju1mU
plane *(noun)*,"el avión

uçak",trio-lingua travel noun term transportation,tra_c0ahOGkG9k3Q
taxi *(noun)*,"el taxi

taksi",trio-lingua travel noun term transportation,tra_2DhDeQB0PvoK
subway / metro *(noun)*,"el metro

metro",trio-lingua travel noun term transportation,tra_6Kdd9y_eOCVF
bicycle *(noun)*,"la bicicleta

bisiklet",trio-lingua travel noun term transportation,tra_EXtmrXr7CQUW
motorcycle *(noun)*,"la moto / la motocicleta

motosiklet",trio-lingua travel noun term transportation,tra_nzeRYqYTFGBs
boat *(noun)*,"el barco

tekne / gemi",trio-lingua travel noun term transportation,tra_9PFyJnKUF-6m
ferry *(noun)*,"el ferry / el transbordador

feribot",trio-lingua travel noun term transportation,tra_pxPAtM5HDO5m
airport *(noun)*,"el aeropuerto

havalimanı",trio-lingua travel noun term transportation,tra_5WvfiD6Itqh6
station *(noun)*,"la estación

istasyon / gar",trio-lingua travel noun term transportation,tra_YnYtW9NzdEyY
bus stop *(noun)*,"la parada de autobús

otobüs durağı",trio-lingua travel noun term transportation,tra_eHs-9Rif7jSG
place *(noun)*,"el lugar / el sitio

yer",trio-lingua travel noun term places,tra_TwM6deYEqHGh
city *(noun)*,"la ciudad

şehir",trio-lingua travel noun term places,tra_xOG5jq9_p_sy
town *(noun)*,"el pueblo

kasaba",trio-lingua travel noun term places,tra_X8Z8Gu78J_0g
village *(noun)*,"la aldea / el pueblo

köy",trio-lingua travel noun term places,tra_mEuNnd8S48s0
capital *(noun)*,"la capital

başkent",trio-lingua travel noun term places,tra_9rJvaq3ReNEN
neighborhood *(noun)*,"el barrio

mahalle",trio-lingua travel noun term places,tra_riLUU_Pi2AIO
street *(noun)*,"la calle

sokak / cadde",trio-lingua travel noun term places,tra_TOK5qe7KTAFC
square *(noun)*,"la plaza

meydan",trio-lingua travel noun term places,tra_syqZnxbfZN11
park *(noun)*,"el parque

park",trio-lingua travel noun term places,tra_3xrQhvF7RV7_
beach *(noun)*,"la playa

plaj",trio-lingua travel noun term places,tra_3eEU_8r05FMm
sea *(noun)*,"el mar

deniz",trio-lingua travel noun term places,tra_4XqBPIijltNI
ocean *(noun)*,"el océano

okyanus",trio-lingua travel noun term places,tra_rP6v8vfbBps_
mountain *(noun)*,"la montaña

dağ",trio-lingua travel noun term places,tra_YyNslUWanBW0
river *(noun)*,"el río

nehir",trio-lingua travel noun term places,tra_h79jSMZPaw8Z
lake *(noun)*,"el lago

göl",trio-lingua travel noun term places,tra_TRJ1sNIE_uMy
island *(noun)*,"la isla

ada",trio-lingua travel noun term places,tra_mpGMgu13ugtK
desert *(noun)*,"el desierto

çöl",trio-lingua travel noun term places,tra_jgVwD5VZBFR8
museum *(noun)*,"el museo

müze",trio-lingua travel noun term places,tra_apLpNZHOZpRK
market *(noun)*,"el mercado

pazar / çarşı",trio-lingua travel noun term places,tra_ZHHqpO-1CUaQ
store / shop *(noun)*,"la tienda

dükkân / mağaza",trio-lingua travel noun term places,tra_Mzrm62-S_15l
bank *(noun)*,"el banco

banka",trio-lingua travel noun term places,tra_Vf5gX9N_bwpB
hospital *(noun)*,"el hospital

hastane",trio-lingua travel noun term places,tra_SNWsb7-kSUX4
pharmacy *(noun)*,"la farmacia

eczane",trio-lingua travel noun term places,tra_zu_q-aQWKgtj
